"Newfoundland and Labrador"	522818
"Prince Edward Island"	155656
"Nova Scotia"	966709
"New Brunswick"	773887
"Quebec"	8447609
"Ontario"	14484242
"Manitoba"	1364400
"Saskatchewan"	1171027
"Alberta"	4350901
"British Columbia"	5046780
"Yukon Territory"	40601
"Northwest Territories"	44909
"Nunavut"	38666
