,pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,deathstoday,percentdeath,testedtoday,recoveredtoday,percentactive
46,1,Canada,Canada,07-03-2020,57,0,0.0,57,,,,,6.0,11.76,0.15,0.0,0.0,0.0,,,100.0
47,35,Ontario,Ontario,08-03-2020,31,0,0.0,31,,,,,3.0,10.71,0.21,0.0,0.0,0.0,,,100.0
48,59,British Columbia,Colombie-Britannique,08-03-2020,27,0,1.0,27,,,,,0.0,0.0,0.53,0.02,1.0,3.7,,,96.3
49,24,Quebec,Québec,08-03-2020,3,0,0.0,3,,,,,1.0,50.0,0.04,0.0,0.0,0.0,,,100.0
50,48,Alberta,Alberta,08-03-2020,1,0,0.0,1,,,,,1.0,100.0,0.02,0.0,0.0,0.0,,,100.0
51,1,Canada,Canada,08-03-2020,62,0,1.0,62,,,,,5.0,8.77,0.16,0.003,1.0,1.61,,,98.39
52,35,Ontario,Ontario,09-03-2020,34,0,0.0,34,,,,,3.0,9.68,0.23,0.0,0.0,0.0,,,100.0
53,59,British Columbia,Colombie-Britannique,09-03-2020,32,0,1.0,32,,,,,5.0,18.52,0.63,0.02,0.0,3.13,,,96.88
54,24,Quebec,Québec,09-03-2020,4,0,0.0,4,,,,,1.0,33.33,0.05,0.0,0.0,0.0,,,100.0
55,48,Alberta,Alberta,09-03-2020,7,0,0.0,7,,,,,6.0,600.0,0.16,0.0,0.0,0.0,,,100.0
56,1,Canada,Canada,09-03-2020,77,0,1.0,77,,,,,15.0,24.19,0.2,0.003,0.0,1.3,,,98.7
57,59,British Columbia,Colombie-Britannique,11-03-2020,39,0,1.0,39,4373.0,,,862.0,0.0,0.0,0.77,0.02,0.0,2.56,4373.0,,97.44
58,48,Alberta,Alberta,11-03-2020,14,0,0.0,14,1969.0,,,450.0,0.0,0.0,0.32,0.0,0.0,0.0,1969.0,,100.0
59,47,Saskatchewan,Saskatchewan,11-03-2020,0,0,0.0,0,204.0,,,174.0,0.0,0.0,0.0,0.0,0.0,,204.0,,
60,46,Manitoba,Manitoba,11-03-2020,0,0,0.0,0,352.0,,,257.0,0.0,0.0,0.0,0.0,0.0,,352.0,,
61,35,Ontario,Ontario,11-03-2020,42,0,1.0,42,3394.0,,,233.0,8.0,23.53,0.29,0.006999999999999999,1.0,2.38,3394.0,,97.62
62,24,Quebec,Québec,11-03-2020,7,0,0.0,7,556.0,,,66.0,3.0,75.0,0.08,0.0,0.0,0.0,556.0,,100.0
63,13,New Brunswick,Nouveau-Brunswick,11-03-2020,0,0,0.0,0,22.0,,,28.0,0.0,0.0,0.0,0.0,0.0,,22.0,,
64,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,11-03-2020,0,0,0.0,0,44.0,,,84.0,0.0,0.0,0.0,0.0,0.0,,44.0,,
