Unnamed: 0,March 13th,March 14th,March 15th,March 16th,March 17th,March 18th,March 19th,March 20th,March 21st,March 22nd,March 23rd,March 24th,March 25th,March 26th,March 27th,March 28th,March 29th,March 30th,March 31st,April 1st,April 2nd,April 3rd,April 4th,April 5th,April 6th,April 7th,April 8th,April 9th,April 10th,April 11th,April 12th,April 13th,April 14th,April 15th,April 16th,April 17th,April 18th,April 19th,April 20th,April 21st,April 22nd,April 23rd,April 24th,April 25th,April 26th,April 27th,April 28th,April 29th,April 30th,May 1st,May 2nd,May 3rd,May 4th,May 5th,May 6th,May 7th,May 8th,May 9th,May 10th,May 11th,May 12th,May 13th,May 14th,May 15th,May 16th,May 17th,May 18th,May 19th,May 20th,May 21st,May 22nd,May 23rd,May 24th,May 25th,May 26th,May 27th,May 28th,May 29th,May 30th,May 31st,June 1st,June 2nd,June 3rd,June 04th
11- Gaspesie-Iles-de-la-Madelaine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,7.0,7.0,7.0,9.0,9.0,13.0,37.0,37.0,38.0,41.0,43.0,54.0,62.0,66.0,75.0,79.0,84.0,90.0,96.0,97.0,99.0,103.0,103.0,107.0,119.0,125.0,125.0,138.0,146.0,149.0,152.0,156.0,163.0,165.0,165.0,167.0,167.0,168.0,168.0,169.0,169.0,170.0,170.0,171.0,172.0,172.0,172.0,172.0,172.0,173.0,174.0,174.0,174.0,174.0,174.0,175.0,177.0,178.0,179.0,180.0,182.0,182.0,183.0,183.0,182.0,184.0,184.0,184.0,184.0,184.0,185.0,185.0
12-Chaudiere-Appalaches,1.0,1.0,3.0,4.0,4.0,6.0,6.0,6.0,13.0,13.0,15.0,14.0,46.0,58.0,73.0,80.0,86.0,95.0,117.0,130.0,133.0,136.0,139.0,156.0,158.0,181.0,195.0,207.0,222.0,230.0,247.0,272.0,286.0,291.0,293.0,304.0,316.0,329.0,333.0,341.0,346.0,349.0,355.0,367.0,374.0,378.0,382.0,384.0,387.0,394.0,396.0,399.0,406.0,410.0,411.0,416.0,420.0,425.0,427.0,432.0,433.0,437.0,440.0,445.0,450.0,470.0,481.0,481.0,483.0,483.0,484.0,485.0,486.0,488.0,491.0,493.0,493.0,494.0,497.0,499.0,500.0,500.0,503.0,504.0
13- Laval,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,21.0,60.0,83.0,95.0,130.0,160.0,180.0,257.0,272.0,338.0,411.0,476.0,569.0,640.0,712.0,759.0,831.0,897.0,1017.0,1108.0,1231.0,1268.0,1358.0,1455.0,1620.0,1772.0,1897.0,2029.0,2095.0,2199.0,2296.0,2411.0,2482.0,2589.0,2711.0,2852.0,2919.0,3025.0,3163.0,3277.0,3355.0,3449.0,3511.0,3604.0,3701.0,3822.0,3898.0,4018.0,4082.0,4233.0,4304.0,4362.0,4439.0,4516.0,4596.0,4760.0,4819.0,4894.0,4950.0,5002.0,5090.0,5129.0,5191.0,5224.0,5269.0,5314.0,5347.0,5387.0,5438.0,5456.0,5471.0,5488.0,5529.0,5550.0
14- Lanaudiere,0.0,1.0,2.0,3.0,6.0,6.0,7.0,7.0,9.0,15.0,50.0,55.0,68.0,72.0,97.0,126.0,144.0,197.0,249.0,256.0,305.0,354.0,393.0,446.0,491.0,532.0,580.0,664.0,738.0,788.0,808.0,868.0,946.0,1026.0,1140.0,1207.0,1244.0,1345.0,1406.0,1462.0,1534.0,1583.0,1645.0,1723.0,1796.0,1913.0,1983.0,2055.0,2187.0,2275.0,2347.0,2412.0,2476.0,2548.0,2606.0,2697.0,2769.0,2812.0,2874.0,2933.0,3003.0,3060.0,3127.0,3165.0,3252.0,3435.0,3482.0,3523.0,3594.0,3659.0,3708.0,3756.0,3803.0,3854.0,3885.0,3905.0,3922.0,3958.0,3977.0,4018.0,4024.0,4037.0,4048.0,4054.0
15- Laurentides,2.0,2.0,3.0,3.0,7.0,8.0,9.0,10.0,14.0,17.0,30.0,44.0,50.0,61.0,81.0,108.0,120.0,169.0,199.0,263.0,290.0,319.0,371.0,408.0,413.0,447.0,459.0,516.0,545.0,568.0,581.0,635.0,663.0,690.0,727.0,777.0,813.0,844.0,869.0,906.0,936.0,967.0,1005.0,1056.0,1096.0,1133.0,1183.0,1283.0,1283.0,1328.0,1371.0,1412.0,1457.0,1517.0,1586.0,1660.0,1706.0,1779.0,1833.0,1872.0,1941.0,2012.0,2075.0,2156.0,2191.0,2320.0,2362.0,2421.0,2476.0,2538.0,2589.0,2653.0,2697.0,2743.0,2768.0,2805.0,2827.0,2879.0,2916.0,2969.0,2986.0,2984.0,3020.0,3038.0
16- Monteregie,4.0,7.0,9.0,10.0,13.0,13.0,19.0,21.0,26.0,40.0,66.0,125.0,148.0,167.0,193.0,219.0,257.0,289.0,341.0,422.0,486.0,583.0,683.0,806.0,894.0,961.0,1034.0,1108.0,1173.0,1259.0,1325.0,1433.0,1565.0,1686.0,1807.0,1920.0,2052.0,2142.0,2366.0,2511.0,2573.0,2650.0,2666.0,2736.0,2789.0,2879.0,2973.0,3120.0,3230.0,3329.0,3462.0,3733.0,3890.0,4006.0,4179.0,4252.0,4344.0,4444.0,4600.0,4731.0,4841.0,4951.0,5071.0,5110.0,5230.0,5437.0,5496.0,5523.0,5575.0,5621.0,5783.0,5935.0,6094.0,6244.0,6401.0,6585.0,6780.0,6835.0,6889.0,6930.0,6990.0,7091.0,7129.0,7188.0
17- Centre du Quebec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,9.0,10.0,10.0,10.0,10.0,12.0,12.0,15.0,16.0,17.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,20.0,22.0,24.0,24.0,24.0,24.0,24.0,24.0,31.0,31.0,30.0,30.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Undetermined,0.0,1.0,2.0,3.0,5.0,5.0,8.0,18.0,22.0,24.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,6.0,8.0,7.0,7.0,7.0,10.0,12.0,13.0,13.0,13.0
Hors Quebec,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,6.0,7.0,5.0,5.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,7.0,3.0,2.0,2.0,2.0,6.0,3.0,3.0,3.0,3.0
Total,17.0,24.0,39.0,51.0,74.0,94.0,121.0,139.0,181.0,219.0,628.0,1013.0,1339.0,1629.0,2021.0,2498.0,2840.0,3430.0,4162.0,4611.0,5518.0,6101.0,6997.0,7944.0,8580.0,9340.0,10031.0,10912.0,11677.0,12292.0,12846.0,13557.0,14248.0,14860.0,15857.0,16798.0,17521.0,18357.0,19319.0,20126.0,20965.0,21838.0,22616.0,23267.0,24107.0,24982.0,25757.0,26594.0,27538.0,28648.0,29691.0,31865.0,32623.0,33417.0,34327.0,35248.0,36126.0,36996.0,37711.0,38479.0,39235.0,39941.0,40734.0,41430.0,42183.0,43627.0,44197.0,44775.0,45495.0,46141.0,46838.0,47411.0,47984.0,48598.0,49139.0,49702.0,50232.0,50651.0,51059.0,51354.0,51593.0,51884.0,52143.0,52398.0
New,,7.0,15.0,12.0,23.0,20.0,27.0,18.0,42.0,38.0,409.0,385.0,326.0,290.0,392.0,477.0,342.0,590.0,732.0,449.0,907.0,583.0,896.0,947.0,636.0,760.0,691.0,881.0,765.0,615.0,554.0,711.0,691.0,612.0,997.0,941.0,723.0,836.0,962.0,807.0,839.0,873.0,778.0,651.0,840.0,875.0,775.0,837.0,944.0,1110.0,1043.0,2174.0,758.0,794.0,910.0,921.0,878.0,870.0,715.0,768.0,756.0,706.0,793.0,696.0,753.0,707.0,570.0,578.0,720.0,646.0,697.0,573.0,573.0,614.0,541.0,563.0,530.0,419.0,408.0,295.0,239.0,291.0,259.0,255.0
Negative,,,2270.0,3079.0,4778.0,5213.0,6331.0,7700.0,9242.0,9786.0,11211.0,12202.0,26634.0,31854.0,32335.0,43589.0,49264.0,56285.0,63378.0,65082.0,69024.0,75623.0,83230.0,87992.0,91533.0,95186.0,99239.0,102463.0,106540.0,110823.0,113925.0,118013.0,123203.0,128314.0,132714.0,136924.0,141249.0,145191.0,148482.0,151394.0,155083.0,158995.0,163016.0,167498.0,171470.0,175190.0,178715.0,182345.0,186509.0,190719.0,199037.0,202940.0,206551.0,209946.0,220604.0,228905.0,234769.0,244384.0,245302.0,250528.0,256518.0,261569.0,267311.0,274630.0,282551.0,296991.0,302358.0,307437.0,314247.0,321123.0,329677.0,338380.0,347398.0,353036.0,358822.0,365402.0,373567.0,384289.0,391792.0,399497.0,404814.0,410793.0,417256.0,424619.0
New Negatives,,,0.0,809.0,1699.0,435.0,1118.0,1369.0,1542.0,544.0,1425.0,991.0,14432.0,5220.0,481.0,11254.0,5675.0,7021.0,7093.0,1704.0,3942.0,6599.0,7607.0,4762.0,3541.0,3653.0,4053.0,3224.0,4077.0,4283.0,3102.0,4088.0,5190.0,5111.0,4400.0,4210.0,4325.0,3942.0,3291.0,2912.0,3689.0,3912.0,4021.0,4482.0,3972.0,3720.0,3525.0,3630.0,4164.0,4210.0,8318.0,3903.0,3611.0,3395.0,10658.0,8301.0,5864.0,9615.0,918.0,5226.0,5990.0,5051.0,5742.0,7319.0,7921.0,6799.0,5367.0,5079.0,6810.0,6876.0,8554.0,8703.0,9018.0,5638.0,5786.0,6580.0,8165.0,10722.0,7503.0,7705.0,5317.0,5979.0,6463.0,7363.0
Under Investigation,,,1480.0,3073.0,2949.0,3627.0,3997.0,3400.0,1512.0,2063.0,1888.0,2548.0,2998.0,2622.0,7236.0,6757.0,6313.0,6200.0,5601.0,5770.0,4871.0,4512.0,3879.0,2847.0,2847.0,2472.0,2837.0,3270.0,2721.0,2500.0,2250.0,2645.0,2394.0,2605.0,2939.0,2835.0,2964.0,2905.0,2971.0,2970.0,4839.0,5158.0,2776.0,2610.0,2810.0,2830.0,2789.0,1020.0,1030.0,1054.0,1002.0,824.0,826.0,714.0,1240.0,1966.0,1544.0,1711.0,1980.0,2012.0,1544.0,1782.0,1782.0,1782.0,1782.0,1782.0,669.0,36.0,-567.0,-148.0,-1701.0,-312.0,1768.0,1943.0,-1196.0,-1736.0,-198.0,-439.0,369.0,369.0,1274.0,-527.0,-104.0,-424.0
Dead,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,6.0,8.0,18.0,22.0,22.0,25.0,31.0,33.0,36.0,61.0,75.0,94.0,121.0,150.0,175.0,216.0,241.0,289.0,328.0,360.0,435.0,487.0,630.0,688.0,805.0,877.0,939.0,1041.0,1134.0,1243.0,1340.0,1446.0,1515.0,1599.0,1682.0,1761.0,1859.0,2022.0,2136.0,2205.0,2280.0,2398.0,2510.0,2631.0,2725.0,2786.0,2928.0,3013.0,3131.0,3220.0,3351.0,3401.0,3483.0,3596.0,3647.0,3718.0,3800.0,3865.0,3940.0,3984.0,4069.0,4139.0,4228.0,4302.0,4363.0,4439.0,4641.0,4661.0,4713.0,4794.0,4885.0,4935.0
Recovered,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,29.0,29.0,29.0,29.0,224.0,270.0,306.0,306.0,611.0,720.0,827.0,1112.0,1341.0,1341.0,1745.0,1982.0,2146.0,2491.0,2841.0,3068.0,3315.0,3555.0,3847.0,4048.0,4291.0,4484.0,4724.0,5057.0,5342.0,5517.0,5841.0,6034.0,6299.0,6700.0,6965.0,7258.0,7578.0,7923.0,8284.0,8673.0,8928.0,9268.0,9526.0,9703.0,10056.0,10470.0,10829.0,11039.0,11458.0,12045.0,12497.0,13327.0,13327.0,13819.0,14044.0,14331.0,14654.0,14914.0,15319.0,15618.0,15908.0,16070.0,16346.0,16597.0,16803.0,17098.0,17336.0,17764.0
Doubling Time,,2.0100516269999997,1.669533565,1.892789261,1.885022555,2.026649623,2.119092732,2.309104491,2.344402692,2.440794318,1.920433407,1.865369305,1.9049199209999998,1.974991129,2.030930855,2.083595253,2.1667849180000003,2.2203269569999997,2.268259944,2.350495756,2.3973724130000003,2.474265525,2.5330861540000003,2.593540239,2.67281441,2.746726344,2.824639337,2.8950806410000003,2.971162992,3.0532842710000003,3.137560459,3.216005332,3.2952291710000003,3.3771048230000003,3.446399081,3.5181045139999996,3.596642658,3.671880794,3.743742793,3.8200426839999997,3.8955098180000003,3.970140564,4.047181141,4.1272598369999995,4.234,4.378,4.501,4.63,4.75,4.87,4.98,5.1,5.3,5.43,5.55,5.67,5.78,5.8,5.92,6.03,6.14,6.25,6.36,6.48,6.6,6.82,6.93,7.04,7.15,7.26,7.37,7.48,7.59,7.7,7.81,7.92,8.03,8.14,8.25,8.36,8.469999999999999,8.579999999999998,8.689999999999998,8.799999999999997
Days,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,59.0,60.0,61.0,63.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0
Hospitalizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.0,653.0,706.0,766.0,809.0,869.0,891.0,919.0,971.0,1023.0,1079.0,1204.0,1233.0,1278.0,1303.0,1331.0,1408.0,1460.0,1470.0,1498.0,1516.0,1536.0,1554.0,1603.0,1627.0,1612.0,1620.0,1630.0,1632.0,1645.0,1655.0,1682.0,1653.0,1631.0,1584.0,1592.0,1604.0,1333.0,1328.0,1308.0,1285.0,1265.0,1246.0,1222.0,1194.0,1153.0,1093.0,1030.0,1027.0,1022.0,1014.0,983.0,930.0,899.0
ICU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,226.0,230.0,218.0,209.0,207.0,258.0,183.0,198.0,201.0,199.0,207.0,227.0,217.0,215.0,210.0,217.0,215.0,214.0,218.0,222.0,218.0,218.0,218.0,213.0,224.0,207.0,205.0,199.0,193.0,186.0,194.0,190.0,191.0,179.0,179.0,180.0,183.0,176.0,171.0,167.0,170.0,179.0,181.0,184.0,178.0,172.0,167.0,171.0,163.0,161.0,158.0,146.0,131.0
